.NT    M3
.HT1   HM
.HT2   HM
.HT3   HM
.OXT   O"
AC     A"
ACA    C1
ACB    C3
AHA    HC
AHB1   HC
AHB2   HC
AHB3   HC
AH     HN
AN     N1
AO     O"
CC     A"
CCA    C1
CCB    C2
CHA    HC
CHB1   HC
CHB2   HC
CH     HN
CN     N1
CO     O"
CSG    S0
DC     A"
DCA    C1
DCB    C2
DCG    A"
DHA    HC
DHB1   HC
DHB2   HC
DH     HN
DN     N1
DOD1   O"
DOD2   O"
DO     O"
EC     A"
ECA    C1
ECB    C2
ECD    A"
ECG    C2
EHA    HC
EHB1   HC
EHB2   HC
EHG1   HC
EHG2   HC
EH     HN
EN     N1
EOE1   O"
EOE2   O"
EO     O"
FC     A"
FCA    C1
FCB    C2
FCD1   A6
FCD2   A6
FCE1   A6
FCE2   A6
FCG    A0
FCZ    A6
FHA    HC
FHB1   HC
FHB2   HC
FHD1   HA
FHD2   HA
FHE1   HA
FHE2   HA
FH     HN
FHZ    HA
FN     N1
FO     O"
GC     A"
GCA    C2
GHA1   HC
GHA2   HC
GH     HN
GN     N1
GO     O"
HC     A"
HCA    C1
HCB    C2
HCD2   A5
HCE1   A5
HCG    A5
HHA    HC
HHB1   HC
HHB2   HC
HHD1   HN
HHD2   HA
HHE1   HA
HH     HN
HND1   N1
HNE2   L5
HN     N1
HO     O"
IC     A"
ICA    C1
ICB    C1
ICD1   C3
ICG1   C2
ICG2   C3
IHA    HC
IHB    HC
IHD11  HC
IHD12  HC
IHD13  HC
IHG11  HC
IHG12  HC
IHG21  HC
IHG22  HC
IHG23  HC
IH     HN
IN     N1
IO     O"
KC     A"
KCA    C1
KCB    C2
KCD    C2
KCE    C2
KCG    C2
KHA    HC
KHB1   HC
KHB2   HC
KHD1   HC
KHD2   HC
KHE1   HC
KHE2   HC
KHG1   HC
KHG2   HC
KH     HN
KHZ1   HM
KHZ2   HM
KHZ3   HM
KN     N1
KNZ    M3
KO     O"
LCA    C1
LC     AO
LCB    C2
LCD1   C3
LCD2   C3
LCG    C1
LHA    HC
LHB1   HC
LHB2   HC
LHD11  HC
LHD12  HC
LHD13  HC
LHD21  HC
LHD22  HC
LHD23  HC
LHG    HC
LH     HN
LN     N1
LO     O"
MC     A"
MCA    C1
MCB    C2
MCE    C3
MCG    C2
MHA    HC
MHB1   HC
MHB2   HC
MHE1   HC
MHE2   HC
MHE3   HC
MHG1   HC
MHG2   HC
MH     HN
MN     N1
MO     O"
MSD    S0
NC     A"
NCA    C1
NCB    C2
NCG    AO
NHA    HC
NHB1   HC
NHB2   HC
NHD21  HN
NHD22  HN
NH     HN
NND2   N2
NN     N1
NOD1   OA
NO     O"
PC     A"
PCA    C1
PCB    CP
PCD    CP
PCG    CP
PHA1   HC
PHB1   HC
PHB2   HC
PHD1   HC
PHD2   HC
PHG1   HC
PHG2   HC
PN     N0
PO     O"
QC     A"
QCA    C1
QCB    C2
QCD    AO
QCG    C2
QHA    HC
QHB1   HC
QHB2   HC
QHE21  HN
QHE22  HN
QHG1   HC
QHG2   HC
QH     HN
QNE2   N2
QN     N1
QOE1   OA
QO     O"
RC     A"
RCA    C1
RC     AO
RCB    C2
RCD    C2
RCG    C2
RCZ    A0
RHA    HC
RHB1   HC
RHB2   HC
RHD1   HC
RHD2   HC
RHE    HM
RHG1   HC
RHG2   HC
RHH11  HM
RHH12  HM
RHH21  HM
RHH22  HM
RH     HN
RNE    M1
RNH1   M2
RNH2   M2
RN     N1
RO     O"
SC     A"
SCA    C1
SCB    C2
SHA    HC
SHB1   HC
SHB2   HC
SHG    HO
SH     HN
SN     N1
SOG    O1
SO     O"
TC     A"
TCA    C1
TCB    C1
TCG2   C3
THA    HC
THB    HC
THG1   HO
THG21  HC
THG22  HC
THG23  HC
TH     HN
TN     N1
TOG1   O1
TO     O"
VC     A"
VCA    C1
VCB    C1
VCG1   C3
VCG2   C3
VHA    HC
VHB    HC
VHG11  HC
VHG12  HC
VHG13  HC
VHG21  HC
VHG22  HC
VHG23  HC
VH     HN
VN     N1
VO     O"
WC     A"
WCA    C1
WCB    C2
WCD1   A5
WCD2   A7
WCE2   A7
WCE3   A6
WCG    A5
WCH2   A6
WCZ2   A6
WCZ3   A6
WHA    HC
WHB1   HC
WHB2   HC
WHD1   HA
WHE1   HN
WHE3   HA
WHH2   HA
WH     HN
WHZ2   HA
WHZ3   HA
WNE1   N1
WN     N1
WO     O"
YC     A"
YCA    C1
YCB    C2
YCD1   A6
YCD2   A6
YCE1   A6
YCE2   A6
YCG    A0
YCZ    A6
YHA    HC
YHB1   HC
YHB2   HC
YHD1   HA
YHD2   HA
YHE1   HA
YHE2   HA
YHH    HO
YH     HN
YN     N1
YOH    O1
YO     O"
